Code,Country,Region,Region (exc. high income),Income,EMU,HIPC,LDC,Lending,SIDS,IBRD member,Small States,FCS,Demo Div
ABW,Aruba,LCN,,HIC,,,,,SIDS,,,,LTE
AFG,Afghanistan,SAS,,LIC,,HPC,LDC,IDA,,WB,,FCS,PRE
AGO,Angola,SSF,SSA,LMC,,,LDC,IBRD,,WB,,,PRE
ALB,Albania,ECS,ECA,UMC,,,,IBRD,,WB,,,LTE
AND,Andorra,ECS,,HIC,,,,,,,,,
ARE,United Arab Emirates,MEA,,HIC,,,,,,WB,,,LTE
ARG,Argentina,LCN,LAC,UMC,,,,IBRD,,WB,,,EAR
ARM,Armenia,ECS,ECA,UMC,,,,IBRD,,WB,,,LTE
ASM,American Samoa,EAS,EAP,UMC,,,,,SIDS,,,,
ATG,Antigua and Barbuda,LCN,,HIC,,,,IBRD,SIDS,WB,SS,,PST
AUS,Australia,EAS,,HIC,,,,,,WB,,,PST
AUT,Austria,ECS,,HIC,EMU,,,,,WB,,,PST
AZE,Azerbaijan,ECS,ECA,UMC,,,,IBRD,,WB,,,LTE
BDI,Burundi,SSF,SSA,LIC,,HPC,LDC,IDA,,WB,,FCS,PRE
BEL,Belgium,ECS,,HIC,EMU,,,,,WB,,,PST
BEN,Benin,SSF,SSA,LMC,,HPC,LDC,IDA,,WB,,,PRE
BFA,Burkina Faso,SSF,SSA,LIC,,HPC,LDC,IDA,,WB,,FCS,PRE
BGD,Bangladesh,SAS,,LMC,,,LDC,IDA,,WB,,,EAR
BGR,Bulgaria,ECS,ECA,UMC,,,,IBRD,,WB,,,PST
BHR,Bahrain,MEA,,HIC,,,,,,WB,SS,,EAR
BHS,Bahamas,LCN,,HIC,,,,,SIDS,WB,SS,,LTE
BIH,Bosnia and Herzegovina,ECS,ECA,UMC,,,,IBRD,,WB,,,PST
BLR,Belarus,ECS,ECA,UMC,,,,IBRD,,WB,,,PST
BLZ,Belize,LCN,LAC,UMC,,,,IBRD,SIDS,WB,SS,,EAR
BMU,Bermuda,NAC,,HIC,,,,,,,,,
BOL,Bolivia,LCN,LAC,LMC,,HPC,,IBRD,,WB,,,EAR
BRA,Brazil,LCN,LAC,UMC,,,,IBRD,,WB,,,LTE
BRB,Barbados,LCN,,HIC,,,,,SIDS,WB,SS,,PST
BRN,Brunei Darussalam,EAS,,HIC,,,,,,WB,SS,,LTE
BTN,Bhutan,SAS,,LMC,,,LDC,IDA,,WB,SS,,EAR
BWA,Botswana,SSF,SSA,UMC,,,,IBRD,,WB,SS,,EAR
CAF,Central African Republic,SSF,SSA,LIC,,HPC,LDC,IDA,,WB,,FCS,PRE
CAN,Canada,NAC,,HIC,,,,,,WB,,,PST
CHE,Switzerland,ECS,,HIC,,,,,,WB,,,PST
CHI,Channel Islands,ECS,,HIC,,,,,,,,,
CHL,Chile,LCN,,HIC,,,,IBRD,,WB,,,LTE
CHN,China,EAS,EAP,UMC,,,,IBRD,,WB,,,LTE
CIV,Côte d'Ivoire,SSF,SSA,LMC,,HPC,,IDA,,WB,,,PRE
CMR,Cameroon,SSF,SSA,LMC,,HPC,,Blend,,WB,,FCS,PRE
COD,Congo Dem. Rep.,SSF,SSA,LIC,,HPC,LDC,IDA,,WB,,FCS,PRE
COG,Congo Rep.,SSF,SSA,LMC,,HPC,,Blend,,WB,,FCS,PRE
COL,Colombia,LCN,LAC,UMC,,,,IBRD,,WB,,,LTE
COM,Comoros,SSF,SSA,LMC,,HPC,LDC,IDA,SIDS,WB,SS,FCS,PRE
CPV,Cabo Verde,SSF,SSA,LMC,,,,Blend,SIDS,WB,SS,,EAR
CRI,Costa Rica,LCN,LAC,UMC,,,,IBRD,,WB,,,LTE
CUB,Cuba,LCN,LAC,UMC,,,,,SIDS,,,,PST
CUW,Curaçao,LCN,,HIC,,,,,SIDS,,,,
CYM,Cayman Islands,LCN,,HIC,,,,,,,,,
CYP,Cyprus,ECS,,HIC,EMU,,,,,WB,SS,,LTE
CZE,Czech Republic,ECS,,HIC,,,,,,WB,,,PST
DEU,Germany,ECS,,HIC,EMU,,,,,WB,,,PST
DJI,Djibouti,MEA,MNA,LMC,,,LDC,IDA,,WB,SS,,EAR
DMA,Dominica,LCN,LAC,UMC,,,,Blend,SIDS,WB,SS,,
DNK,Denmark,ECS,,HIC,,,,,,WB,,,PST
DOM,Dominican Republic,LCN,LAC,UMC,,,,IBRD,SIDS,WB,,,EAR
