Country Name,Country Code,Series Name,Series Code,1990,1991,1991,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,13232387318,10854473801,10270357729,10571699245,11226956639,11675037299,12512435964,13812851148,14322135047,15237859962,16292969643,18368120035,20228540660,20372921423,20713234005,21080117318,21107307112,21494960255,22099816253,22361196678,22836779087,23394783535,24147051615,24944787768,24097128940,25221060115,27022659857
Algeria,DZA,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,96837909576,89702397752,94024725647,91649310926,91131107450,93022268337,90787305839,88828129131,90690536440,93367821465,97908070848,1.00E+11,1.04E+11,1.09E+11,1.16E+11,1.21E+11,1.25E+11,1.32E+11,1.40E+11,1.49E+11,1.57E+11,1.67E+11,1.75E+11,1.84E+11,1.92E+11,2.00E+11,2.06E+11,2.10E+11,2.16E+11,2.21E+11,2.14E+11,2.23E+11,2.29E+11
American Samoa,ASM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,39283464445,43057087958,43934096013,45981018486,52725496501,54326284769,59780203582,60912579189,66964887246,72728440241,78863549150,85130337111,94109270552,1.10E+11,1.12E+11,1.08E+11,1.07E+11,1.06E+11,96343720202,1.01E+11,1.08E+11
Antigua and Barbuda,ATG,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,3.39E+11,3.60E+11,3.44E+11,3.63E+11,3.96E+11,4.10E+11,4.02E+11,3.99E+11,3.76E+11,3.22E+11,3.48E+11,3.81E+11,4.10E+11,4.55E+11,4.97E+11,5.33E+11,5.04E+11,5.61E+11,6.13E+11,6.20E+11,6.42E+11,6.14E+11,6.37E+11,6.32E+11,6.58E+11,6.43E+11,6.04E+11,5.31E+11,5.85E+11,6.42E+11
Armenia,ARM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,8370846704,9178788123,9554352183,10319768741,10814932686,10895659770,11789847633,12638456933,13684886276,14678515464,15984963393,17437896162,18883834302,21380916455,22527498966,21521283574,22339097942,22875228947,24952633427,25377955008,25781561611,23836891128,23353881137,26616489005,27895494404,31106519065,26760628674,27498764165,28986080875
