Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,11227040829,11675124849,12512529794,13812954730,14322242448,15237974230,16293091824,18368257777,20228692353,20373074199,20713389333,21080275396,21107465395,21495121444,22099981979,22361364363,22836950338,23394958971,24147232692,24944974828,24097309643,25221249247,27022862498
Algeria,DZA,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,97908070848,1.00E+11,1.04E+11,1.09E+11,1.16E+11,1.21E+11,1.25E+11,1.32E+11,1.40E+11,1.49E+11,1.57E+11,1.67E+11,1.75E+11,1.84E+11,1.92E+11,2.00E+11,2.06E+11,2.10E+11,2.16E+11,2.21E+11,2.14E+11,2.23E+11,2.29E+11
American Samoa,ASM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,39283464445,43057087958,43934096013,45981018486,52725496501,54326284769,59780203582,60912579189,66964887246,72728440241,78863549150,85130337111,94109270552,1.10E+11,1.12E+11,1.08E+11,1.07E+11,1.06E+11,96343720202,1.01E+11,1.08E+11
Antigua and Barbuda,ATG,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,3.99E+11,3.76E+11,3.22E+11,3.48E+11,3.81E+11,4.10E+11,4.55E+11,4.97E+11,5.33E+11,5.04E+11,5.61E+11,6.13E+11,6.20E+11,6.42E+11,6.14E+11,6.37E+11,6.32E+11,6.58E+11,6.43E+11,6.04E+11,5.31E+11,5.85E+11,6.42E+11
Armenia,ARM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,11789847633,12638456933,13684886276,14678515464,15984963393,17437896162,18883834302,21380916455,22527498966,21521283574,22339097942,22875228947,24952633427,25377955008,25781561611,23836891128,23353881137,26616489005,27895494404,31106519065,26760628674,27498764165,28986080875
Aruba,ABW,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2061438599,..,..,..,..,..
