Code,Region,Year,in_class,Country,pop,pcon
ALB,ECS,2000,LM,Albania,3089027,3634.49099959308
ARG,LCN,2000,UM,Argentina,37070774,10763.1958264481
ARM,ECS,2000,L,Armenia,3168523,3720.92853136935
AUS,EAS,2000,H,Australia,19028802,18866.1377631655
AUT,ECS,2000,H,Austria,8011566,23590.8934657719
BDI,SSF,2000,L,Burundi,6307659,586.883821874328
BEL,ECS,2000,H,Belgium,10251250,20680.4048286794
BEN,SSF,2000,L,Benin,6998023,1954.9619252466
BFA,SSF,2000,L,Burkina Faso,11882888,1078.13959316961
BGD,SAS,2000,L,Bangladesh,129193327,1834.46007238439
BGR,ECS,2000,LM,Bulgaria,8170172,5200.06638342498
BHR,MEA,2000,UM,Bahrain,711442,16118.5972321004
BHS,LCN,2000,H,Bahamas The,325014,21496.0456226501
BIH,ECS,2000,LM,Bosnia and Herzegovina,4179350,4908.26934068695
BLR,ECS,2000,LM,Belarus,9979610,2542.26318693817
BLZ,LCN,2000,LM,Belize,240406,4945.01258288063
BOL,LCN,2000,LM,Bolivia,8592656,4043.78059694232
BRA,LCN,2000,UM,Brazil,175873720,6538.78248552427
BRN,EAS,2000,H,Brunei Darussalam,333926,7425.14486742572
BTN,SAS,2000,L,Bhutan,587207,1820.06573831715
BWA,SSF,2000,UM,Botswana,1726985,3208.7238250477
CAN,NAC,2000,H,Canada,30685730,19259.7666733038
CHE,ECS,2000,H,Switzerland,7184250,28256.2550022619
CHL,LCN,2000,UM,Chile,15351799,6839.58928852573
CHN,EAS,2000,LM,China,1262645000,1267.18119503107
CMR,SSF,2000,L,Cameroon,15091594,1975.39148674421
COD,SSF,2000,L,Congo Dem. Rep.,48616317,616.48592627862
COG,SSF,2000,L,Congo Rep.,3134030,1593.97212502752
COL,LCN,2000,LM,Colombia,39215135,5788.58137298265
COM,SSF,2000,L,Comoros,536758,2375.44540370148
CRI,LCN,2000,UM,Costa Rica,3979193,7152.23248256619
CYP,ECS,2000,H,Cyprus,948237,13252.326586075
CZE,ECS,2000,UM,Czechia,10255063,11116.4602304247
DEU,ECS,2000,H,Germany,82211508,22502.9323145368
DNK,ECS,2000,H,Denmark,5339616,19102.4972582298
DOM,LCN,2000,LM,Dominican Republic,8540791,5773.19645018828
DZA,MEA,2000,LM,Algeria,30774621,3181.45496732519
ECU,LCN,2000,LM,Ecuador,12626507,4578.77736012026
EGY,MEA,2000,LM,Egypt Arab Rep.,71371371,6178.94813874319
ESP,ECS,2000,H,Spain,40567864,18906.5906945458
EST,ECS,2000,UM,Estonia,1396985,7184.45035343973
FIN,ECS,2000,H,Finland,5176209,17758.935684784
FRA,ECS,2000,H,France,60921384,18876.7871721365
GAB,SSF,2000,UM,Gabon,1272935,4338.31195936949
GBR,ECS,2000,H,United Kingdom,58892514,21055.3076406281
GNB,SSF,2000,L,Guinea-Bissau,1230849,1185.78526041781
GRC,ECS,2000,H,Greece,10805808,16935.3369965485
GTM,LCN,2000,LM,Guatemala,11589761,4669.06820183781
HKG,EAS,2000,H,Hong Kong SAR China,6665000,22805.7014253563
HND,LCN,2000,LM,Honduras,6656725,2855.11495172176
HRV,ECS,2000,UM,Croatia,4468302,9362.94529599835
HTI,LCN,2000,L,Haiti,8360225,2534.7001255349
