Country,Year,pcon,pc_gdp
China,2000,1267.18119503107,3453.06875645965
China,2001,1344.49817195424,3711.12945709007
China,2002,1460.48109965636,4022.18056857232
China,2003,1544.55138155852,4400.80720273207
China,2004,1658.85461875277,4814.536195822
China,2005,1825.54536250115,5330.89927285
China,2006,2006.07160836601,5980.07658159296
China,2007,2268.7867302534,6798.7722752744
China,2008,2453.46901646089,7413.25099742952
China,2009,2689.18167750853,8037.49830987185
China,2010,2982.72040547056,8895.83278824554
China,2011,3412.55060277242,9665.17599913757
China,2012,3707.01304839055,10338.283401886
China,2013,4005.16416771808,11076.5529180482
China,2014,4344.46663653726,11881.6788885163
China,2015,4696.12859275579,12609.9749249924
China,2016,5087.22501242983,13402.6041403959
China,2017,5536.39661513449,14252.8192291302
China,2018,5973.93709544042,15113.0628190139
China,2019,6336.37484061389,15983.0082863019
China,2020,6158.31620721423,16299.3409396924
China,2021,6910.41943980288,17630.0659888414
China,2022,6925.48728025917,18198.877617859
India,2000,1764.76082642428,2566.92483843532
India,2001,1835.08191662484,2650.67387956921
India,2002,1857.39395560431,2695.04221009253
India,2003,1933.03272484885,2863.75218496126
India,2004,1997.77413989854,3036.26466196034
India,2005,2113.21513173619,3221.78700412239
India,2006,2183.60392069769,3428.94053172059
India,2007,2311.52301730271,3639.59805997118
India,2008,2378.31873724872,3704.21071620271
India,2009,2459.87349745043,3939.06653080102
India,2010,2587.42927552254,4215.65579781399
India,2011,2743.27438555383,4373.33597696987
India,2012,2856.0506195427,4550.84988828232
India,2013,3028.35016808037,4778.75205551301
India,2014,3182.26131900881,5071.72897717029
India,2015,3394.14444543669,5412.48869250038
India,2016,3623.09004699514,5789.47378643553
India,2017,3802.99544302194,6114.33053751877
India,2018,4032.1305111589,6435.33873248367
India,2019,4200.67195568139,6615.51607478223
India,2020,3938.73582307809,6173.07323544239
India,2021,4347.93777545758,6678.20507995118
India,2022,4643.0458361492,7126.86366946914
United States,2000,32357.2511577384,50325.6261160882
United States,2001,32810.5915958459,50180.9047936467
United States,2002,33342.0028335279,50412.8301445416
United States,2003,34090.7602826566,51360.1949657819
United States,2004,35176.9591272901,52936.2006284463
United States,2005,35869.3895228538,54480.8652186742
United States,2006,36530.6093394116,55298.6288165404
United States,2007,37180.7426977511,55771.1140466267
United States,2008,36830.7209357781,55574.9271263081
United States,2009,36183.2795767693,53459.9806359475
United States,2010,36530.9034648796,54634.7140315456
United States,2011,36908.2467500901,54880.9582110035
United States,2012,36957.0740590007,55754.206554527
United States,2013,37334.6895486254,56318.429997079
United States,2014,38318.2281673909,57163.2584136488
United States,2015,39284.2786056752,58302.857930645
United States,2016,39929.2101533296,59119.993327798
United States,2017,40600.1279617609,59977.4617616922
United States,2018,41610.803270887,61498.3195400609
United States,2019,42335.4612425507,62437.1910411719
United States,2020,40722.5677279044,60028.0813174295
United States,2021,44272.9006412445,63548.1771109019
United States,2022,45006.180653783,64508.858937089
