Year	g_all	gini_nC	gini_nI	gini_nUS	ci_all	ci_nC	ci_nI	ci_nUS
2000	0.577495409786582	0.563260238968301	0.550855219380814	0.552224147141132	0.569887443912292	0.543490519845716	0.562623296379359	0.513122525995347
2001	0.572875055345278	0.562547395755367	0.546404755364541	0.547350798013937	0.561986729258287	0.538611622641083	0.554366701177675	0.503254566640499
2002	0.566926673175178	0.560339574001283	0.539107467797677	0.540366613215156	0.557542974192255	0.537144329726984	0.548286368987448	0.497394373171343
2003	0.559604608398004	0.556557758311868	0.531909678366024	0.531572345484285	0.551922019658959	0.53390666585638	0.542682539905759	0.489231783693194
2004	0.553154323859182	0.552925370718761	0.525017200411227	0.524224424450402	0.547851064344933	0.53106878808934	0.537626357363603	0.484934579433586
2005	0.546491531150167	0.550398097537375	0.518482957888654	0.516315630991357	0.539128459851678	0.527073300147595	0.528269638259572	0.473845771378628
2006	0.538796903523235	0.547251771240099	0.51067282859416	0.508614328241002	0.53631835718286	0.526636348095908	0.525531554408948	0.471818739443395
2007	0.529113558748165	0.543059053793613	0.500137620019252	0.49942177365488	0.525830225370311	0.519729982989093	0.513534567628468	0.461737114427964
2008	0.520998711901278	0.538952309857656	0.489642211273953	0.491983341214841	0.520470726995917	0.516444838463732	0.508229873158394	0.458336406405453
2009	0.504887431254431	0.529716832819208	0.475512971468	0.473150198337414	0.504991362101281	0.510153271621471	0.491695926713544	0.43961258994817
2010	0.49802145085841	0.526146698898287	0.469383563499882	0.466730992438301	0.49694854583663	0.504250576752008	0.485546981204653	0.432119709252205
2011	0.497185337994111	0.529603878451205	0.469452248835211	0.46730831918692	0.49213907601477	0.504484709257269	0.482456539010199	0.428300705479137
2012	0.491004088868372	0.526372918419206	0.463146974695242	0.460075734470337	0.481600113834596	0.499738971836196	0.470771322261215	0.417662441470597
2013	0.48416224029797	0.522254748482098	0.456683035892631	0.452673813470732	0.472244352648144	0.493370208262343	0.461596429248395	0.407829064053987
2014	0.477580585477533	0.518269543755579	0.451346972656182	0.445330327711019	0.46508263189316	0.490087220864422	0.455151045495534	0.399251461765884
2015	0.472278684344033	0.51532001325851	0.448289155642044	0.439022418731014	0.457692842887269	0.486496120413552	0.450084410355448	0.388931518943493
2016	0.467341856581562	0.512485045205068	0.446282216905608	0.434041664058114	0.45237380582844	0.48371273493058	0.449366500581782	0.382770701172007
2017	0.463413178871185	0.51012723655618	0.443397808927394	0.430543926455833	0.447043580212919	0.481635696703016	0.444159496585023	0.377964591508513
2018	0.460019197886268	0.507728945956039	0.441207464522812	0.42669024733128	0.436177521178504	0.47731295895984	0.433073244458201	0.364719733435911
2019	0.45807719167825	0.506551630061473	0.439307419214572	0.424502355776603	0.433627148079945	0.4756620866046	0.431541507998961	0.36225552953257
2020	0.457894620093931	0.508029692809849	0.435886708231216	0.423950667018573	0.430289582415248	0.473125828514757	0.425938624878937	0.355075470966884
2021	0.45979637884637	0.510334830721099	0.439679837524722	0.42585879051218	0.430326758939843	0.474348690437418	0.426311440621182	0.353442476855108
