Year,pgini_exp,gini_gdp,nc,kakwani,wpgini_exp,wgini_gdp,wkakwani
2000,0.45269523864835,0.525389779657491,123,0.0726945410091411,0.570609841224307,0.576250861398947,0.00564102017463974
2001,0.452882744881924,0.525791746625245,124,0.0729090017433211,0.566866803696345,0.571418102854199,0.00455129915785435
2002,0.451935653953503,0.524818860507068,125,0.0728832065535651,0.563635233107844,0.56605732025551,0.0024220871476659
2003,0.448811198327637,0.521163497700272,125,0.0723522993726347,0.559121523501181,0.558507514319196,-0.000614009181985287
2004,0.444967483028822,0.519853847192799,125,0.0748863641639769,0.55516321391227,0.552240637679063,-0.00292257623320724
2005,0.44177011141329,0.516905898766051,127,0.0751357873527613,0.545608811027847,0.54561195954301,3.14851516258763e-06
2006,0.438770957238253,0.5157712265367,129,0.0770002692984466,0.540347971792269,0.53734804344694,-0.00299992834532903
2007,0.43901859610888,0.517928419167198,132,0.0789098230583182,0.531578391252694,0.527329250123898,-0.0042491411287956
2008,0.434141783687109,0.513787011492525,134,0.0796452278054159,0.523587178019045,0.519823932205007,-0.00376324581403786
2009,0.435284516742541,0.514989608084111,136,0.07970509134157,0.509512975209116,0.503903413440106,-0.00560956176900962
2010,0.435342804995948,0.518320596645321,139,0.0829777916493728,0.501638007730522,0.497599593796188,-0.00403841393433368
2011,0.434907049531479,0.521119102116785,140,0.0862120525853059,0.496608968632122,0.497161928420411,0.000552959788288954
2012,0.430770041444712,0.520105234712908,141,0.0893351932681958,0.485595742841205,0.491027445461178,0.00543170261997306
2013,0.42942869032835,0.520607822427539,142,0.0911791320991894,0.477523398148538,0.484201889405618,0.00667849125708014
2014,0.430764804052315,0.519807656753301,143,0.0890428527009858,0.470270601360271,0.477731018532992,0.00746041717272139
2015,0.430316454130663,0.514220515105215,144,0.0839040609745523,0.462954838639392,0.471877384708371,0.00892254606897902
2016,0.429363284729527,0.511961316926023,144,0.0825980321964956,0.455750059584409,0.465018149327271,0.00926808974286214
2017,0.42856322954013,0.512650443921231,144,0.0840872143811012,0.449338135197079,0.460345765205147,0.0110076300080685
2018,0.427918726780664,0.51211125189878,144,0.084192525118116,0.43794534043322,0.456668639331404,0.0187232988981844
2019,0.424887389308943,0.509398314869259,144,0.0845109255603157,0.434406602506996,0.454027861872447,0.0196212593654512
2020,0.417619176178776,0.504483579407832,144,0.0868644032290564,0.431317441921908,0.453373955319236,0.0220565133973282
2021,0.419750312640769,0.507576902338783,144,0.0878265896980145,0.431564539634518,0.454649669484233,0.0230851298497152
2022,0.42132949803403,0.505034446778151,136,0.0837049487441207,0.42988591861743,0.452176883225995,0.0222909646085652
