Year,mean_pgdp,wtmean_pgdp,nc_gdp,mean_con,wtmean_con,nc_con
2000,16572.8802605824,11255.6723554113,185,8318.56759042108,6410.18472169406,123
2001,16715.2496887568,11363.6482615142,186,8426.00765117276,6495.70659501214,124
2002,16845.0588943174,11475.9585029676,187,8533.70436387093,6583.75032587778,125
2003,17260.1709539256,11747.6114754955,187,8744.29024671349,6710.03979714012,125
2004,17967.1355709737,12187.9447777859,188,9058.25353671571,6932.53136491235,125
2005,18463.7174324753,12592.176535214,188,9255.07840277171,7142.86659039887,127
2006,19504.5496963585,13063.1967890553,189,9528.15713509724,7342.77916192025,129
2007,20135.3425929576,13558.5541494411,189,9772.50145933996,7594.16532508493,132
2008,20176.6634533538,13767.997158106,190,9875.65320007732,7683.26519106241,134
2009,19469.9801244092,13489.6497429225,191,9571.8716928207,7619.78655410177,136
2010,19908.0854906224,14010.1419747856,191,9664.39259563021,7821.36881388312,139
2011,20341.1385791278,14365.3231418665,192,9789.73993915317,7949.9360025964,140
2012,20562.7845304661,14635.7593723669,192,9897.44063723839,8105.09023007038,141
2013,20571.8559842927,14897.2035887088,194,9980.74827338655,8277.13623418326,142
2014,20746.4075263056,15220.7547803753,194,10278.6954291828,8460.00345146275,143
2015,20853.1400124935,15537.5298334275,194,10432.3702040875,8630.67373992994,144
2016,21102.6285550723,15868.240500852,194,10628.0485129607,8824.7752546595,144
2017,21501.4760904291,16275.3448863045,194,10867.2217800684,9071.87902206594,144
2018,21892.2583817324,16672.2214383207,194,11095.8419228044,9325.00677699439,144
2019,22149.4854467963,16956.2941484449,194,11265.5673696837,9518.61931198919,144
2020,20488.6445315983,16279.3217398816,194,10578.0616807617,9024.74175565376,144
2021,21739.3950181157,17155.7652114456,194,11272.8675326503,9645.74719487794,144
2022,22578.8989614785,17692.2407108475,188,11817.6717895067,9966.26259342937,136
