Year,wg_gdp,wg_con,ncon,wgdp_nC,wcon_nC,wgdp_nI,wcon_nI,wgdp_nUS,wcon_nUS
2000,0.576250861398947,0.586401256980206,123,0.558855809804992,0.545654473301763,0.546841476153396,0.572975372188072,0.552196647723413,0.538574714115008
2001,0.571418102854199,0.581939580719396,124,0.558038111741293,0.54401474097747,0.542332333917383,0.569894633219842,0.547272989973422,0.532658536032393
2002,0.56605732025551,0.576670873763732,125,0.556479903782282,0.543471478860297,0.535603019809145,0.564600831171223,0.541260648053729,0.52517240949625
2003,0.558507514319196,0.572280566324423,125,0.552572029903857,0.541196427930338,0.528182024283524,0.560972784522463,0.532173800001424,0.518611895006444
2004,0.552240637679063,0.567474865141829,125,0.549223463163667,0.538593471584992,0.521345229301055,0.555649585189609,0.524814500678055,0.512117444836839
2005,0.54561195954301,0.559037669118023,127,0.546964636014021,0.533941277555659,0.514599658152907,0.547980711806012,0.516582788458955,0.502489919295876
2006,0.53734804344694,0.551182498007762,129,0.543563698949654,0.53071538252274,0.50599717322816,0.540090698374598,0.508481974291861,0.493666947739278
2007,0.527329250123898,0.540125057217018,132,0.539283007047857,0.525842795138477,0.494981147992796,0.529822418050955,0.499064851021949,0.48191705816145
2008,0.519823932205007,0.531163039894537,134,0.536106570466735,0.520453131453948,0.485623607414212,0.520294754573406,0.491726105927242,0.473810992806825
2009,0.503903413440106,0.520178719231616,136,0.527118424605948,0.515408488185741,0.471735418443465,0.510109304348124,0.473384773035285,0.460856287545319
2010,0.497599593796188,0.511734682321887,139,0.524410021667617,0.511354847942101,0.46593343821305,0.501376131380397,0.467348590656187,0.452712325883894
2011,0.497161928420411,0.504412378756193,140,0.52837865944343,0.511587425516502,0.466524974444376,0.494932276014126,0.468667973074339,0.445393802382043
2012,0.491027445461178,0.495955748774122,141,0.525542921409887,0.506140861453808,0.460230491531277,0.4858458836901,0.461296728843408,0.437472012307097
2013,0.484201889405618,0.487154917830118,142,0.521606930514075,0.500506597182437,0.453684961515997,0.478143075925225,0.454030693072937,0.427938065853915
2014,0.477731018532992,0.480807032377356,143,0.518175206802638,0.498217353225655,0.448338326412042,0.47255911795698,0.446916333119574,0.419102183068162
2015,0.471877384708371,0.472376441338085,144,0.514766132139322,0.494131771466172,0.444658685309996,0.466508668944336,0.439882376080547,0.407610668311257
2016,0.465018149327271,0.464149604940694,144,0.510086202692108,0.489944805176474,0.439698143155567,0.460195389230385,0.432433292885548,0.398032163594046
2017,0.460345765205147,0.457682514054873,144,0.507066044624352,0.486993975864003,0.436045574800985,0.453612421154816,0.428224259967266,0.391772402169785
2018,0.456668639331404,0.450642504838129,144,0.504462869959298,0.483113927805022,0.433594748639898,0.447633128837978,0.423837040439622,0.383442340798958
2019,0.454027861872447,0.445175239502134,144,0.502726058055607,0.479803341821537,0.430931647985894,0.44261814858767,0.421125862475591,0.377294200982888
2020,0.453373955319236,0.44287130037042,144,0.504001475298608,0.478420433057941,0.427318511497504,0.438603947597684,0.420303750552605,0.371683409651936
2021,0.454649669484233,0.441803713829486,144,0.505476588193929,0.479555850870263,0.430700438393743,0.440391292904728,0.421780819293204,0.367839162392428
2022,0.452176883225995,0.440070859307681,136,0.503032504763979,0.476513171987719,0.430177754360685,0.441828511217466,0.420180057603396,0.367850261247433
